"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2023","105.28","105.12","105.87","105.01","8.10M","-0.36%"
"09/11/2023","105.66","105.89","106.10","105.08","6.31M","0.03%"
"09/08/2023","105.63","106.20","106.33","105.40","6.83M","-0.50%"
"09/07/2023","106.16","106.11","106.61","105.50","7.56M","-0.33%"
"09/06/2023","106.51","106.66","107.31","105.91","8.59M","-0.43%"
"09/05/2023","106.97","108.61","108.64","106.93","8.45M","-1.68%"
"09/01/2023","108.80","108.98","109.14","108.35","7.03M","0.53%"
"08/31/2023","108.23","108.90","109.15","108.21","5.59M","-0.45%"
"08/30/2023","108.72","108.36","109.08","108.28","7.85M","0.45%"
"08/29/2023","108.23","107.33","108.29","107.01","9.33M","0.76%"
"08/28/2023","107.41","107.06","107.76","107.02","7.67M","0.82%"
"08/25/2023","106.54","106.20","106.91","105.31","13.14M","0.84%"
"08/24/2023","105.65","106.54","107.29","105.61","9.48M","-1.22%"
"08/23/2023","106.95","105.86","107.07","105.86","7.64M","1.03%"
"08/22/2023","105.86","106.44","106.70","105.61","8.15M","-0.24%"
"08/21/2023","106.11","106.22","106.45","105.36","6.46M","-0.12%"
"08/18/2023","106.24","105.42","106.58","105.35","10.76M","0.19%"
"08/17/2023","106.04","107.32","107.50","106.00","10.87M","-0.84%"
"08/16/2023","106.94","107.34","108.20","106.85","10.28M","-0.56%"
"08/15/2023","107.54","108.22","108.34","107.42","6.91M","-1.28%"
"08/14/2023","108.93","108.81","108.99","108.50","6.11M","0.04%"
"08/11/2023","108.89","108.48","109.17","108.42","5.72M","0.17%"
"08/10/2023","108.71","109.16","109.95","108.46","7.26M","-0.28%"
"08/09/2023","109.01","109.08","109.50","108.60","7.88M","-0.06%"
"08/08/2023","109.07","108.90","109.28","108.16","7.67M","-0.46%"
"08/07/2023","109.57","108.65","109.72","108.60","8.46M","1.23%"
"08/04/2023","108.24","109.32","109.40","108.07","10.63M","-0.61%"
"08/03/2023","108.90","109.19","109.45","108.73","7.99M","-0.63%"
"08/02/2023","109.59","110.12","110.60","109.40","9.91M","-1.05%"
"08/01/2023","110.75","110.24","111.12","110.06","9.00M","0.30%"
"07/31/2023","110.42","110.30","110.59","110.00","6.59M","0.24%"
"07/28/2023","110.16","110.35","110.37","109.74","7.47M","0.62%"
"07/27/2023","109.48","110.47","110.47","109.19","11.84M","-0.86%"
"07/26/2023","110.43","110.04","110.54","109.87","10.56M","0.70%"
"07/25/2023","109.66","108.81","109.75","108.59","8.77M","-0.13%"
"07/24/2023","109.80","109.51","110.15","109.44","6.75M","0.23%"
"07/21/2023","109.55","109.95","110.19","109.53","8.99M","-0.47%"
"07/20/2023","110.07","109.76","110.35","109.37","10.64M","0.45%"
"07/19/2023","109.58","109.37","109.90","108.93","8.56M","-0.05%"
"07/18/2023","109.63","109.07","110.00","109.02","8.10M","0.56%"
"07/17/2023","109.02","108.42","109.38","108.17","6.52M","0.38%"
"07/14/2023","108.61","108.85","108.89","108.06","9.29M","-0.29%"
"07/13/2023","108.93","108.89","109.18","108.48","8.96M","0.13%"
"07/12/2023","108.79","109.86","109.88","108.67","13.49M","-0.17%"
"07/11/2023","108.98","107.96","109.14","107.93","10.28M","1.18%"
"07/10/2023","107.71","106.23","107.71","106.22","11.77M","1.42%"
"07/07/2023","106.20","105.65","107.22","105.62","9.36M","0.23%"
"07/06/2023","105.96","105.92","106.29","105.34","11.21M","-0.75%"
"07/05/2023","106.76","106.68","107.12","106.41","9.50M","-0.54%"
"07/03/2023","107.34","106.91","107.55","106.46","6.79M","0.02%"
"06/30/2023","107.32","107.06","107.62","106.60","11.43M","0.86%"
"06/29/2023","106.41","105.27","106.44","105.19","10.24M","0.97%"
"06/28/2023","105.39","105.42","105.60","105.03","7.87M","0.00%"
"06/27/2023","105.39","104.36","105.51","104.18","8.21M","1.20%"
"06/26/2023","104.14","103.24","104.34","103.11","7.64M","0.83%"
"06/23/2023","103.28","103.17","103.68","102.90","11.25M","-0.76%"
"06/22/2023","104.07","104.43","104.55","103.89","11.64M","-0.72%"
"06/21/2023","104.83","103.71","105.13","103.49","12.21M","0.56%"
"06/20/2023","104.25","104.36","104.66","103.84","9.53M","-1.14%"
"06/16/2023","105.45","105.95","106.60","105.29","14.33M","-0.16%"
"06/15/2023","105.62","104.01","105.82","103.95","12.78M","1.51%"
"06/14/2023","104.05","104.62","104.87","103.60","14.95M","-0.27%"
"06/13/2023","104.33","103.32","104.42","103.19","14.47M","1.16%"
"06/12/2023","103.13","102.50","103.31","102.12","9.91M","0.71%"
"06/09/2023","102.40","102.69","102.76","101.73","9.87M","-0.26%"
"06/08/2023","102.67","102.31","102.90","101.83","10.07M","0.18%"
"06/07/2023","102.49","100.93","102.56","100.58","13.38M","1.61%"
"06/06/2023","100.87","100.00","101.03","99.91","10.51M","0.63%"
"06/05/2023","100.24","101.15","101.15","100.11","10.67M","-0.69%"
"06/02/2023","100.94","99.12","101.24","99.06","21.45M","2.91%"
"06/01/2023","98.09","97.08","98.31","96.75","12.57M","1.28%"
"05/31/2023","96.85","97.81","97.95","96.53","13.02M","-1.36%"
"05/30/2023","98.19","98.48","98.72","97.70","9.83M","-0.15%"
"05/26/2023","98.34","97.90","98.72","97.78","10.79M","0.75%"
"05/25/2023","97.61","97.36","97.85","96.74","14.26M","0.33%"
"05/24/2023","97.29","98.27","98.29","97.15","11.65M","-1.29%"
"05/23/2023","98.56","99.32","99.60","98.39","11.74M","-1.20%"
"05/22/2023","99.76","99.82","100.38","98.95","9.04M","-0.02%"
"05/19/2023","99.78","100.79","100.89","99.27","10.03M","-0.24%"
"05/18/2023","100.02","99.14","100.18","98.86","10.81M","0.73%"
"05/17/2023","99.30","98.23","99.61","98.18","12.39M","1.72%"
"05/16/2023","97.62","98.49","98.59","97.62","9.42M","-1.35%"
"05/15/2023","98.96","98.44","99.29","98.09","8.43M","0.49%"
"05/12/2023","98.48","98.84","99.14","97.75","8.55M","0.07%"
"05/11/2023","98.41","98.49","98.62","97.86","11.55M","-0.61%"
"05/10/2023","99.01","100.00","100.12","97.88","12.58M","-0.36%"
"05/09/2023","99.37","98.91","99.52","98.71","8.07M","0.22%"
"05/08/2023","99.15","99.90","100.07","98.79","7.61M","-0.36%"
"05/05/2023","99.51","98.93","99.81","98.81","9.23M","1.51%"
"05/04/2023","98.03","99.01","99.21","97.49","15.15M","-1.09%"
"05/03/2023","99.11","99.82","100.51","99.04","13.37M","-0.38%"
"05/02/2023","99.49","100.18","100.36","98.36","12.24M","-1.04%"
"05/01/2023","100.54","100.01","101.11","100.00","8.55M","0.54%"
"04/28/2023","100.00","98.92","100.16","98.92","10.71M","0.97%"
"04/27/2023","99.04","97.41","99.15","97.26","14.42M","1.98%"
"04/26/2023","97.12","98.35","98.61","96.92","16.06M","-1.89%"
"04/25/2023","98.99","100.25","100.29","98.92","12.31M","-1.84%"
"04/24/2023","100.85","100.61","101.20","100.44","6.94M","0.24%"
"04/21/2023","100.61","101.02","101.17","100.22","10.67M","-0.23%"
"04/20/2023","100.84","100.43","101.23","100.43","9.27M","-0.18%"
"04/19/2023","101.02","100.74","101.19","100.57","7.73M","-0.08%"
"04/18/2023","101.10","101.11","101.70","100.73","9.92M","0.48%"
"04/17/2023","100.62","100.08","100.64","99.94","8.01M","0.79%"
"04/14/2023","99.83","99.61","100.38","99.24","9.25M","-0.12%"
"04/13/2023","99.95","99.62","100.14","98.56","12.29M","0.37%"
"04/12/2023","99.58","99.79","100.17","99.31","11.28M","0.33%"
"04/11/2023","99.25","98.95","99.71","98.87","9.75M","0.60%"
"04/10/2023","98.66","97.39","98.68","97.39","10.57M","0.91%"
"04/06/2023","97.77","97.83","98.17","97.34","10.89M","-0.03%"
